"location","source","target"
"","countryoptions.SendBrandBySmsToTheNumber","Envía <<BRAND>> por SMS al número <<SMS_NUMBER>>"
"","countryoptions.Send_OLX_to_number_3000","Envía <<BLACKSTRONG>><<BRAND>><</BLACKSTRONG>> al número <<BLACKSTRONG>>3000<</BLACKSTRONG>>"
"","countryoptions.SiteLanguage","Idioma del sitio"
"","countryoptions.State","Seleccionar región"
"","countryoptions.stateSelect","Selecciona un Estado: "
"","countryoptions.TheCityYouSelectedIsPresentInSeveralStatesPleaseSelectTheStateYourCityIsLocated","La ciudad seleccionada se encuentra en varios estados, por favor selecciona el estado donde se encuentra tu ciudad:"
"","countryoptions.Town","Población"
"","countryoptions.Wait","Espera..."
"","countryoptions.ZipCodeOrCity","Código Postal o Ciudad"
"","defaultfooter.About OLX","Acerca de <<BRAND>>"
"","defaultfooter.ADS_REGION","Anuncios en <<REGION>>"
"","defaultfooter.AdvancedSearch","Búsqueda avanzada"
"","defaultfooter.AllListings","Todas las Publicaciones"
"","defaultfooter.AllStates","Explorar Ciudades"
"","defaultfooter.Back","Atrás"
"","defaultfooter.BrandFreeClassifieds","Clasificados 100% gratuitos"
"","defaultfooter.BrowseAds","Buscar Anuncios"
"","defaultfooter.change","cambiar"
"","defaultfooter.classifiedGratuitous","clasificados gratis"
"","defaultfooter.ClassifiedsAndMuchMore","Clasificados y mucho más!"
"","defaultfooter.ClassifiedsHelp","Ayuda Clasificados"
"","defaultfooter.ClassifiedsHome","Inicio Clasificados"
"","defaultfooter.Click","haz click aquí"
"","defaultfooter.ClickHere","Haz click aquí"
"","defaultfooter.Distance","Distancia"
"","defaultfooter.Exact","Exacto"
"","defaultfooter.FreeSite","Clasificados 100% gratuitos"
"","defaultfooter.GoHome","Ir a Página Principal"
"","defaultfooter.Hello","Hola, "
"","defaultfooter.Hello!","Hola!"
"","defaultfooter.Help","Ayuda"
"","defaultfooter.HelpUs","Nuevo: <<BRAND>> ahora admite videos! Publica ahora tu anuncio!"
"","defaultfooter.Home","Inicio"
"","defaultfooter.IntellectualPropertyProtectionServices","Servicios de protección de la propiedad intelectual"
"","defaultfooter.ItemDetail","Detalle del artículo"
"","defaultfooter.ListingLanguage","Anuncios en"
"","defaultfooter.Location","Localización:"
"","defaultfooter.miles","millas"
"","defaultfooter.MOBILE","MOVIL"
"","defaultfooter.My OLX","Mi OLX"
"","defaultfooter.MyAskHT.com","My askHT.com"
"","defaultfooter.Not_You?","no eres tú"
"","defaultfooter.OLX","<<BRAND>>"
"","defaultfooter.OLX Official Time","Hora Oficial de <<BRAND>>"
"","defaultfooter.Optional","Opcional"
"","defaultfooter.Or","o"
"","defaultfooter.PopularSearches","Búsquedas Populares"
"","defaultfooter.Post","Publicar"
"","defaultfooter.PublishFreeAd","Publica un anuncio gratis"
"","defaultfooter.Region","Región"
"","defaultfooter.Register","Registro"
"","defaultfooter.Register2","Registro"
"","defaultfooter.Search","Buscar"
"","defaultfooter.SelectCityState","Elige una ciudad/estado"
"","defaultfooter.SelectCountry","Elige un país"
"","defaultfooter.Selected_Region","Región Elegida"
"","defaultfooter.Sign_In","Entrar"
"","defaultfooter.Sign_In2","Iniciar sesión"
