"location","source","target"
"","countryoptions.stateSelect","Kies een staat:"
"","countryoptions.TheCityYouSelectedIsPresentInSeveralStatesPleaseSelectTheStateYourCityIsLocated","De geselecteerde plaats komt in meerdere provincies voor. Kies de juiste provincie:"
"","countryoptions.Town","Plaats"
"","countryoptions.Wait","Wacht..."
"","countryoptions.ZipCodeOrCity","Postcode of plaats"
"","defaultfooter.About OLX","Over <<BRAND>>"
"","defaultfooter.ADS_REGION","Advertenties in <<REGION>>"
"","defaultfooter.AdvancedSearch","Uitgebreid zoeken"
"","defaultfooter.AllListings","Alle advertenties"
"","defaultfooter.AllStates","Plaatsen zoeken"
"","defaultfooter.Back","Terug"
"","defaultfooter.BrandFreeClassifieds","100% Gratis advertenties"
"","defaultfooter.BrowseAds","Zoek advertenties"
"","defaultfooter.change","wijzig"
"","defaultfooter.classifiedGratuitous","Gratis advertenties"
"","defaultfooter.ClassifiedsAndMuchMore","Advertenties en nog veel meer!"
"","defaultfooter.ClassifiedsHelp","Advertenties Help"
"","defaultfooter.ClassifiedsHome","Advertenties Home"
"","defaultfooter.Click","klik hier"
"","defaultfooter.ClickHere","Klik hier"
"","defaultfooter.Distance","Afstand"
"","defaultfooter.Exact","Exact"
"","defaultfooter.FreeSite","100% Gratis advertenties"
"","defaultfooter.GoHome","Naar startpagina"
"","defaultfooter.Hello","Hallo, "
"","defaultfooter.Hello!","Hallo!"
"","defaultfooter.Help","Help"
"","defaultfooter.HelpUs","Nieuw: <<BRAND>> ondersteunt nu ook video's. Plaats nu een advertentie!"
"","defaultfooter.Home","Home"
"","defaultfooter.IntellectualPropertyProtectionServices","Beveiligingsservices voor intellectuele eigendommen"
"","defaultfooter.ItemDetail","Productgegevens"
"","defaultfooter.ListingLanguage","Advertenties in"
"","defaultfooter.Location","Locatie:"
"","defaultfooter.miles","km"
"","defaultfooter.MOBILE","MOBIEL"
"","defaultfooter.My OLX","Mijn OLX"
"","defaultfooter.MyAskHT.com","My askHT.com"
"","defaultfooter.Not_You?","iemand anders?"
"","defaultfooter.OLX","<<BRAND>>"
"","defaultfooter.OLX Official Time","Officiële <<BRAND>>-tijd"
"","defaultfooter.Optional","Niet verplicht"
"","defaultfooter.Or","of"
"","defaultfooter.PopularSearches","Populaire zoekopdrachten"
"","defaultfooter.Post","Plaatsen"
"","defaultfooter.PublishFreeAd","Plaats een gratis advertentie"
"","defaultfooter.Region","Regio"
"","defaultfooter.Register","Registreren"
"","defaultfooter.Register2","Registreren"
"","defaultfooter.Search","Zoek"
"","defaultfooter.SelectCityState","Kies stad/provincie"
"","defaultfooter.SelectCountry","Kies land"
"","defaultfooter.Selected_Region","Geselecteerde regio"
"","defaultfooter.Sign_In","Inloggen"
"","defaultfooter.Sign_In2","Inschrijven"
"","defaultfooter.SiteLanguage","Advertenties in:"
"","defaultfooter.sitesAssociate","Andere verwante sites:"
"","defaultfooter.State","Staat"
"","defaultfooter.Terms of use","Gebruiksvoorwaarden"
"","defaultfooter.TheWeb","Internet"
"","defaultfooter.VoteUrl","/index.php?a=1&newpost=1"
"","defaultfooter.Welcome","Welkom"
"","defaultheader2.AllListings","Alle Berichten"
"","defaultheader2.Click","Klik hier"
"","defaultheader2.FreeSite","<AREA> Gratis Rubrieken"
"","defaultheader2.Hello","Hallo, "
"","defaultheader2.Help","Help"
"","defaultheader2.Home","Home"
"","defaultheader2.My OLX","Mijn OLX"
"","defaultheader2.Not_You?","u niet"
"","defaultheader2.OLX","<<BRAND>>"
"","defaultheader2.Or","of"
"","defaultheader2.Post","Plaats"
"","defaultheader2.PublishFreeAd","Plaats een gratis advertentie"
"","defaultheader2.Register","Registreer"
"","defaultheader2.Search","Zoek"
"","defaultheader2.TheWeb","Het internet"
"","defaultheader2.Welcome","Welkom"
"","defaultheader.'PublishFreeAd'","Hallo"
"","defaultheader.AdvancedSearch","Uitgebreid zoeken"
"","defaultheader.AllListings","Alle advertenties"
"","defaultheader.Apr","apr"
"","defaultheader.April","april"
"","defaultheader.Aug","aug"
"","defaultheader.August","augustus"
"","defaultheader.BackToBrandHomePage","Terug naar de <<BRAND>>-startpagina"
"","defaultheader.BookAnOnlineAd","Book an online AD"
"","defaultheader.BrandChannel","<<BRAND>>-kanaal"
"","defaultheader.BrandFullVersion","Volledige versie van <<BRAND>>"
"","defaultheader.BrandNowSupportsVideosPostNow","Nieuw: <<BRAND>> ondersteunt nu video's! Plaats nu!"
"","defaultheader.BrowseAds","Zoek advertenties"
"","defaultheader.Categories","<<BRAND>>-categorieën"
"","defaultheader.change","Wijzig"
"","defaultheader.Cities","Plaatsen"
"","defaultheader.ClassifiedsAndMuchMore","Advertenties en nog veel meer!"
"","defaultheader.ClassifiedsHelp","Advertenties Help"
"","defaultheader.ClassifiedsHome","Advertenties Home"
"","defaultheader.Click","klik hier"
"","defaultheader.ClickHere","Klik hier"
"","defaultheader.CloseToYou","<<BRAND>> bij u in de buurt"
"","defaultheader.Dec","dec"
"","defaultheader.December","december"
"","defaultheader.Distance","Afstand"
"","defaultheader.DragThisIconLogoBrandToYourWindowsTaskbarToPin","Sleep dit pictogram <<LOGO_IMAGE>> naar je  Windows-taakbalk om hem vast te zetten."
"","defaultheader.Exact","Exact"
"","defaultheader.ExperienceBrandAsPinnedSite","Gebruik <<BRAND>> als vastgemaakte site!"
"","defaultheader.Features","<<BRAND>>-functies"
"","defaultheader.Feb","feb"
"","defaultheader.February","februari"
"","defaultheader.FollowUsOnNetwork","Volg ons op <<NETWORK>>"
"","defaultheader.FreeSite","Gratis advertenties in <AREA>"
"","defaultheader.Fri","vrij"
"","defaultheader.Friday","vrijdag"
"","defaultheader.FriendName1AndFriendName2AreUsingBrand","<<friendName1>> en <<friendName2>> gebruiken <<BRAND>>"
"","defaultheader.FriendName1FriendName2AndFriendsTotalMoreAreUsingBrand","<<friendName1>>, <<friendName2>> en nog <<friendsTotal>> vrienden gebruiken <<BRAND>>"
"","defaultheader.FriendName1IsUsingBrand","<<friendName1>> gebruikt <<BRAND>>"
"","defaultheader.FriendsTotalUsingBrand","<<friendName1>>, <<friendName2>> en nog <<friendsTotal>> vrienden gebruiken <<BRAND>>"
"","defaultheader.Hello","Hallo, "
"","defaultheader.Help","Help"
"","defaultheader.HelpUs","Nieuw: <<BRAND>> ondersteunt nu video's! Plaats nu!"
"","defaultheader.Home","Home"
"","defaultheader.ItemDetail","Productgegevens"
"","defaultheader.Jan","jan"
"","defaultheader.January","januari"
"","defaultheader.Jul","jul"
"","defaultheader.July","juli"
"","defaultheader.Jun","jun"
"","defaultheader.June","juni"
"","defaultheader.JustOneStep","Slechts één stap!"
"","defaultheader.ListingLanguage","Aanbiedingen in"
"","defaultheader.Location","Locatie"
"","defaultheader.M","m "
"","defaultheader.Mar","mrt"
"","defaultheader.March","maart"
"","defaultheader.May","mei"
"","defaultheader.miles","mijlen"
"","defaultheader.Minutes","minuten"
"","defaultheader.MOBILE","MOBIEL"
"","defaultheader.Modify","Wijzig"
"","defaultheader.Mon","ma"
"","defaultheader.Monday","maandag"
"","defaultheader.My OLX","Mijn OLX"
"","defaultheader.MyAdsOnBrand","Mijn advertenties op <<BRAND>>"
"","defaultheader.MyClassifieds","Mijn advertenties"
"","defaultheader.NeverAskAgain","Niet opnieuw vragen"
"","defaultheader.NewListings","Nieuwe advertenties"
"","defaultheader.Not_You?","iemand anders?"
"","defaultheader.Nov","nov"
"","defaultheader.November","november"
"","defaultheader.Oct","okt"
"","defaultheader.October","oktober"
"","defaultheader.OLX","<<BRAND>>"
"","defaultheader.Optional","Niet verplicht"
"","defaultheader.Or","of"
"","defaultheader.PlaceAdFree","Plaats GRATIS advertentie"
"","defaultheader.PlaceAnAd","Plaats een advertentie"
"","defaultheader.PlaceFreeAd","Plaats een gratis advertentie"
"","defaultheader.PopularSearches","Populaire zoekopdrachten"
"","defaultheader.Post","Plaatsen"
"","defaultheader.PostAdFree","Plaats een GRATIS advertentie"
"","defaultheader.PostAFreeAd","Plaats een gratis advertentie"
"","defaultheader.PostAFreeClassifiedAd","Plaats een gratis advertentie"
"","defaultheader.PostAnAd","Post een advertentie"
"","defaultheader.PostPicturesButton","Plaats foto's"
"","defaultheader.PublishFreeAd","Plaats een gratis advertentie"
"","defaultheader.Region","Regio"
"","defaultheader.Register","Registreren"
"","defaultheader.Register2","Registreren"
"","defaultheader.Sat","za"
"","defaultheader.Saturday","zaterdag"
"","defaultheader.Search","Zoeken"
"","defaultheader.Seconds","seconden"
"","defaultheader.SelectCityState","Kies stad/provincie"
"","defaultheader.SelectCountry","Kies land"
"","defaultheader.Selected_Region","Locatie"
"","defaultheader.Sep","sep"
"","defaultheader.September","september"
"","defaultheader.SiteLanguage","Advertenties in:"
"","defaultheader.State","Staat"
"","defaultheader.StayConnected","Blijf verbonden"
"","defaultheader.Sun","zo"
"","defaultheader.Sunday","zondag"
"","defaultheader.TellUsYourOpinionAnswerTheSurvey","Geef ons je mening, beantwoord de enquêtevragen!"
"","defaultheader.TheWeb","Internet"
"","defaultheader.Thu","do"
"","defaultheader.Thursday","donderdag"
"","defaultheader.Tue","di"
"","defaultheader.Tuesday","dinsdag"
"","defaultheader.UsefulInformation","Nuttige informatie"
"","defaultheader.UserNameHasPublishedThis","<<USERNAME>> heeft deze advertentie geplaatst"
"","defaultheader.VoteUrl","/index.php?a=1&nieuwgeplaatst=1"
"","defaultheader.Wed","wo"
"","defaultheader.Wednesday","woensdag"
"","defaultheader.Welcome","Welkom"
"","defaultheader.WhatAreYouLookingFor","Wat zoek je?"
