"location","source","target"
"","countryoptions.SendBrandBySmsToTheNumber","Send <<BRAND>> by SMS to the number 21616"
"","countryoptions.Send_OLX_to_number_3000","Envie <<BLACKSTRONG>><<BRAND>><</BLACKSTRONG>> para o numero <<BLACKSTRONG>>3000<</BLACKSTRONG>>"
"","countryoptions.SiteLanguage","Idioma do site"
"","countryoptions.State","Seleccione uma Região"
"","countryoptions.stateSelect","Selecione um estado:"
"","countryoptions.TheCityYouSelectedIsPresentInSeveralStatesPleaseSelectTheStateYourCityIsLocated","A cidade que seleccionou existe em vários estados. Por favor seleccione o estado onde se encontra a sua cidade."
"","countryoptions.Town","Cidade"
"","countryoptions.Wait","Aguarde..."
"","countryoptions.ZipCodeOrCity","Código postal ou cidade"
"","defaultfooter.About OLX","Sobre o <<BRAND>>"
"","defaultfooter.ADS_REGION","Anúncios na <<REGION>>"
"","defaultfooter.AdvancedSearch"," Pesquisa avançada"
"","defaultfooter.AllListings","Todos os Anúncios"
"","defaultfooter.AllStates","Procurar cidades"
"","defaultfooter.Back","Voltar"
"","defaultfooter.BrandFreeClassifieds","100% Anúncios grátis"
"","defaultfooter.BrowseAds","Navegar os Anúncios"
"","defaultfooter.change","mudar"
"","defaultfooter.classifiedGratuitous","classificados gratuitos"
"","defaultfooter.ClassifiedsAndMuchMore","Classificados e Muito Mais!"
"","defaultfooter.ClassifiedsHelp","Ajuda Classificados"
"","defaultfooter.ClassifiedsHome","Início Classificados"
"","defaultfooter.Click","faça clique aqui;"
"","defaultfooter.ClickHere","Faça clique aqui"
"","defaultfooter.Distance","Distância"
"","defaultfooter.Exact","Exacto"
"","defaultfooter.FreeSite","100% Anúncios grátis"
"","defaultfooter.GoHome","Voltar à Página Principal do OLX"
"","defaultfooter.Hello","Olá, "
"","defaultfooter.Hello!","Olá!"
"","defaultfooter.Help","Ajuda"
"","defaultfooter.HelpUs","Novo: o <<BRAND>> agora aceita vídeos! Publique o seu agora!"
"","defaultfooter.Home","Página Principal"
"","defaultfooter.IntellectualPropertyProtectionServices","Serviços de Protecção da Propriedade Intelectual"
"","defaultfooter.ItemDetail","Detalhe do artigo"
"","defaultfooter.ListingLanguage","Anúncios na língua"
"","defaultfooter.Location","Localização:"
"","defaultfooter.miles","milhas"
"","defaultfooter.MOBILE","MOVEL"
"","defaultfooter.My OLX","MeuOLX"
"","defaultfooter.MyAskHT.com","My askHT.com"
"","defaultfooter.Not_You?","não é você?"
"","defaultfooter.OLX","<<BRAND>>"
"","defaultfooter.OLX Official Time","Hora oficial <<BRAND>>"
"","defaultfooter.Optional","Facultativo"
"","defaultfooter.Or","ou"
"","defaultfooter.PopularSearches","Pesquisas mais populares"
"","defaultfooter.Post","Publicar um anúncio"
"","defaultfooter.PublishFreeAd","Publicar um anúncio grátis"
"","defaultfooter.Region","Região"
"","defaultfooter.Register","Registar-se"
"","defaultfooter.Register2","Registar-se"
"","defaultfooter.Search","Pesquisar"
"","defaultfooter.SelectCityState","Seleccione uma Cidade/Estado"
"","defaultfooter.SelectCountry","Seleccione um País"
"","defaultfooter.Selected_Region","Região Seleccionada"
"","defaultfooter.Sign_In","Login"
"","defaultfooter.Sign_In2","Login"
"","defaultfooter.SiteLanguage","Anúncios em"
"","defaultfooter.sitesAssociate","Outros sites relacionados:"
"","defaultfooter.State","Estado"
"","defaultfooter.Terms of use","Termos de Uso"
"","defaultfooter.TheWeb","A web"
"","defaultfooter.VoteUrl","/index.php?a=1&newpost=1"
"","defaultfooter.Welcome","Seja Bemvinda/o"
"","defaultheader2.AllListings","Todas os Anúncios"
"","defaultheader2.Click","faça clique aqui"
"","defaultheader2.FreeSite","<AREA> Anúncios grátis"
"","defaultheader2.Hello","Olá, "
"","defaultheader2.Help","Ajuda"
"","defaultheader2.Home","Início"
"","defaultheader2.My OLX","MeuOLX"
"","defaultheader2.Not_You?","não é você?"
"","defaultheader2.OLX","<<BRAND>>"
"","defaultheader2.Or","ou"
"","defaultheader2.Post","Publicar um anúncio"
"","defaultheader2.PublishFreeAd","Publicar um Classificado Grátis"
"","defaultheader2.Register","Registar-se"
"","defaultheader2.Search","Pesquisar"
"","defaultheader2.TheWeb","A web"
"","defaultheader2.Welcome","Seja Bemvinda/o "
"","defaultheader.'PublishFreeAd'","Hello"
"","defaultheader.AdvancedSearch","Pesquisa avançada"
"","defaultheader.AllListings","Todos os Anúncio"
"","defaultheader.Apr","Abr"
"","defaultheader.April","Abril"
"","defaultheader.Aug","Ago"
"","defaultheader.August","Agosto"
"","defaultheader.BackToBrandHomePage","Voltar à página principal do <<BRAND>>"
"","defaultheader.BookAnOnlineAd","Book an online AD"
"","defaultheader.BrandChannel","Canal <<BRAND>>"
"","defaultheader.BrandFullVersion","Versão completa do <<BRAND>>"
"","defaultheader.BrandNowSupportsVideosPostNow","Novo: o <<BRAND>> aceita vídeos! Publique agora!"
"","defaultheader.BrowseAds","Navegar nos Anúncio"
"","defaultheader.Categories","Categorias de <<BRAND>>"
"","defaultheader.change","Mudar"
"","defaultheader.Cities","Cidades"
"","defaultheader.ClassifiedsAndMuchMore","Classificados e Muito Mais!"
"","defaultheader.ClassifiedsHelp","Ajuda dos Classificados"
"","defaultheader.ClassifiedsHome","Inicio Classificados"
"","defaultheader.Click","faça clique aqui;"
"","defaultheader.ClickHere","Faça clique aqui"
"","defaultheader.CloseToYou","Perto de si <<BRAND>>"
"","defaultheader.Dec","Dez"
"","defaultheader.December","Dezembro"
"","defaultheader.Distance","Distância"
"","defaultheader.DragThisIconLogoBrandToYourWindowsTaskbarToPin","Arraste este ícone <<LOGO_IMAGE>> para o adicionar à Iniciação Rápida do Windows."
"","defaultheader.Exact","Exacto"
"","defaultheader.ExperienceBrandAsPinnedSite","Experiente <<BRAND>> como um Site Web adicionado!"
"","defaultheader.Features","Características de <<BRAND>>"
"","defaultheader.Feb","Fev"
"","defaultheader.February","Fevereiro"
"","defaultheader.FollowUsOnNetwork","Acompanhe-nos no <<NETWORK>>"
"","defaultheader.FreeSite","Classificados grátis - <AREA>"
"","defaultheader.Fri","Sex"
"","defaultheader.Friday","Sexta-feira"
"","defaultheader.FriendName1AndFriendName2AreUsingBrand","<<friendName1>> e <<friendName2>> estão a utilizar <<BRAND>>"
"","defaultheader.FriendName1FriendName2AndFriendsTotalMoreAreUsingBrand","<<friendName1>>, <<friendName2>> e mais <<friendsTotal>> amigos estão a utilizar <<BRAND>>"
